annotator,image_id
Bob,chair_rot_s_4.jpg
Bob,clamp_rot_s_5.jpg
Maryam,clamp_rot_s_5.jpg
Bob,clamp_rot_s_6.jpg
Maryam ,clamp_rot_s_6.jpg
Bob,cocktail_umbrella_rot_s_7.jpg
Maryam,cocktail_umbrella_rot_s_7.jpg
Bob,cocktail_umbrella_rot_s_8.jpg
Maryam,cocktail_umbrella_rot_s_8.jpg
Bob,controlbox_rot_s_3.jpg
Maryam,controlbox_rot_s_3.jpg
Bob,controlbox_rot_s_4.jpg
Maryam,controlbox_rot_s_4.jpg
Bob,jacket_rot_s_7.jpg
Maryam,jacket_rot_s_7.jpg
Bob,jacket_rot_s_8.jpg
Maryam,jacket_rot_s_8.jpg
Bob,jug_rot_s_7.jpg
Maryam,jug_rot_s_7.jpg
Bob,jug_rot_s_8.jpg
Maryam,jug_rot_s_8.jpg
Bob,pail_rot_s_3.jpg
Maryam,pail_rot_s_3.jpg
Bob,pail_rot_s_4.jpg
Maryam,pail_rot_s_4.jpg
Bob,takeout_container_rot_s_7.jpg
Maryam,takeout_container_rot_s_7.jpg
Bob,takeout_container_rot_s_8.jpg
Maryam,takeout_container_rot_s_8.jpg
Maryam,tennis_racket_rot_s_1.jpg
Maryam,tennis_racket_rot_s_2.jpg
Bob,theater_seats_rot_s_7.jpg
Maryam,theater_seats_rot_s_7.jpg
Bob,theater_seats_rot_s_8.jpg
Maryam,theater_seats_rot_s_8.jpg
Bob,umbrella_rot_s_3.jpg
Maryam,umbrella_rot_s_3.jpg
Bob,umbrella_rot_s_4.jpg
Maryam,umbrella_rot_s_4.jpg
Maryam,
