annotator,image_id
Bob,accordion_rot_s_7.jpg
Maryam,accordion_rot_s_7.jpg
Bob,briefcase_rot_s_3.jpg
Maryam,briefcase_rot_s_3.jpg
Bob,chair_recliner_rot_s_10.jpg
Maryam,chair_recliner_rot_s_10.jpg
Bob,chair_recliner_rot_s_9.jpg
Maryam,chair_recliner_rot_s_9.jpg
Bob,chapstick_rot_s_10.jpg
Maryam,chapstick_rot_s_10.jpg
Bob,chapstick_rot_s_9.jpg
Maryam,chapstick_rot_s_9.jpg
Bob,clamp_rot_s_10.jpg
Maryam,clamp_rot_s_10.jpg
Bob,clamp_rot_s_9.jpg
Maryam,clamp_rot_s_9.jpg
Bob,cocktail_umbrella_rot_s_1.jpg
Maryam,cocktail_umbrella_rot_s_1.jpg
Bob,cocktail_umbrella_rot_s_2.jpg
Maryam,cocktail_umbrella_rot_s_2.jpg
Bob,container_open_rot_s_1.jpg
Bob,container_open_rot_s_2.jpg
Maryam,container_open_rot_s_2.jpg
Bob,container_open_rot_s_3.jpg
Maryam,container_open_rot_s_3.jpg
Bob,container_open_rot_s_4.jpg
Maryam,container_open_rot_s_4.jpg
Bob,fakeapple_rot_s_7.jpg
Maryam,fakeapple_rot_s_7.jpg
Maryam,fuel_tank_rot_s_5.jpg
Maryam,fuel_tank_rot_s_6.jpg
Bob,gloves_rot_s_7.jpg
Maryam,gloves_rot_s_7.jpg
Bob,gloves_rot_s_8.jpg
Maryam,gloves_rot_s_8.jpg
Bob,hand_puppet_rot_s_5.jpg
Maryam ,hand_puppet_rot_s_5.jpg
Bob,hand_puppet_rot_s_6.jpg
Maryam,hand_puppet_rot_s_6.jpg
Bob,handbag_rot_s_3.jpg
Bob,handbag_rot_s_3.jpg
Bob,holy_vase_rot_s_7.jpg
Bob,holy_vase_rot_s_8.jpg
Maryam,jacket_rot_s_1.jpg
Bob,jacket_rot_s_2.jpg
Maryam,jacket_rot_s_2.jpg
Bob,jug_rot_s_1.jpg
Maryam,jug_rot_s_1.jpg
Bob,jug_rot_s_2.jpg
Maryam,jug_rot_s_2.jpg
Bob,kettle_rot_s_3.jpg
Bob,kettle_rot_s_4.jpg
Bob,nailpolish_rot_s_1.jpg
Maryam,nailpolish_rot_s_1.jpg
Bob,nailpolish_rot_s_2.jpg
Maryam,nailpolish_rot_s_2.jpg
Bob,notecards_rot_s_7.jpg
Maryam,notecards_rot_s_7.jpg
Bob,notecards_rot_s_8.jpg
Maryam,notecards_rots_s_8.jpg
Bob,packingtape_rot_s_5.jpg
Maryam,packingtape_rot_s_5.jpg
Bob,packingtape_rot_s_6.jpg
Maryam,packingtape_rot_s_6.jpg
Maryam,pail_rot_s_5.jpg
Bob,pail_rot_s_6.jpg
Maryam,pail_rot_s_6.jpg
Bob,phone_antique_rot_s_10.jpg
Maryam,phone_antique_rot_s_10.jpg
Bob,phone_antique_rot_s_9.jpg
Maryam,phone_antique_rot_s_9.jpg
Bob,Scanner_rot_s_3.jpg
Bob,sponge_rot_s_5.jpg
Maryam,sponge_rot_s_5.jpg
Bob,sponge_rot_s_6.jpg
Maryam,sponge_rot_s_6.jpg
Maryam,sugar_bowl_rot_s_5.jpg
Maryam,sugar_bowl_rot_s_6.jpg
Maryam,takeout_container_rot_s_1.jpg
Bob,takeout_container_rot_s_2.jpg
Maryam,takeout_container_rot_s_2.jpg
Bob,tennis_racket_rot_s_3.jpg
Maryam,tennis_racket_rot_s_3.jpg
Bob,tennis_racket_rot_s_4.jpg
Maryam,tennis_racket_rot_s_4.jpg
Bob,theater_seats_rot_s_1.jpg
Bob,theater_seats_rot_s_2.jpg
Maryam,valve_rot_s_7.jpg
Maryam,valve_rot_s_8.jpg
