annotator,image_id
Filippo,chair_rot_s_4
Filippo,container_open_rot_s_2
Filippo,extension_cord_rot_s_7
Filippo,holy_vase_rot_s_7
Filippo,holy_vase_rot_s_8
Filippo,kettle_rot_s_3
Filippo,kettle_rot_s_4
Filippo,lotion_rot_s_3
Filippo,lotion_rot_s_4
Filippo,measuring_spoons_rot_s_3
Filippo,measuring_spoons_rot_s_4
Filippo,notebook_rot_s_5
Filippo,notebook_rot_s_6
Filippo,sponge_rot_s_5
Filippo,sponge_rot_s_6
Filippo,tool_box_rot_s_7
Filippo,tool_box_rot_s_8
Filippo,usb_key_rot_s_10
Filippo,usb_key_rot_s_9
Filippo,watch_rot_s_10
Filippo,watch_rot_s_9
Hannah,accordion_rot_s_8
Hannah,accordion_rot_s_9
Hannah,chair_rot_s_4
Hannah,chapstick_rot_s_9
Hannah,chapstick_rot_s_10
Hannah,extension_cord_rot_s_7
Hannah,extension_cord_s_6
Hannah,flask_rot_s_5
Hannah,fuel_tank_rot_s_5
Hannah,fuel_tank_rot_s_6
Hannah,gift_box_rot_s_1
Hannah,gift_box_rot_s_2
Hannah,holy_vase_rot_s_7
Hannah,holy_vase_rot_s_8
Hannah,kettle_rot_s_3
Hannah,kettle_rot_s_4
Hannah,lotion_rot_s_3
Hannah,lotion_rot_s_4
Hannah,measuring_spoons_rot_s_3
Hannah,measuring_spoons_rot_s_4
Hannah,notebook_rot_s_5
Hannah,notebook_rot_s_6
Hannah,notecards_rot_s_7
Hannah,notecards_rot_s_8
Hannah,razor_rot_s_1
Hannah,razor_rot_s_2
Hannah,scanner_rot_s_1
Hannah,scanner_rot_s_2
Hannah,sponge_rot_s_5
Hannah,sponge_rot_s_6
Hannah,sugar_bowl_rot_s_5
Hannah,sugar_bowl_rot_s_6
Hannah,tennis_racket_rot_s_3
Hannah,tennis_racket_rot_s_4
Hannah,tool_box_rot_s_7
Hannah,tool_box_rot_s_7
Hannah,usb_key_rot_s_9
Hannah,usb_key_rot_s_10
Hannah,valve_rot_s_7
Hannah,valve_rot_s_8
Hannah,watch_rot_s_9
Hannah,watch_rot_s_10
Sachien,accordion_rot_s_8.jpg
Sachien,accordion_rot_s_9
Sachien,chair_rot_s_4
Sachien,extension_cord_rot_s_7
Sachien,fuel_tank_rot_s_5
Sachien,fuel_tank_rot_s_6
Sachien,gloves_rot_s_10
Sachien,handbag_rot_s_1
Sachien,handbag_rot_s_2
Sachien,holy_vase_rot_s_7
Sachien,holy_vase_rot_s_8
Sachien,kettle_rot_s_3
Sachien,kettle_rot_s_4
Sachien,lotion_rot_s_3
Sachien,lotion_rot_s_4
Sachien,measuring_spoons_rot_s_3
Sachien,measuring_spoons_rot_s_4
Sachien,notebook_rot_s_5
Sachien,notebook_rot_s_6
Sachien,notecards_rot_s_7
Sachien,notecards_rot_s_8
Sachien,phone_antique_rot_s_9
Sachien,phone_antique_rot_s_10
Sachien,razor_rot_s_1
Sachien,razor_rot_s_2
Sachien,scanner_rot_s_1
Sachien,scanner_rot_s_2
Sachien,sponge_rot_s_5
Sachien,sponge_rot_s_6
Sachien,tool_box_rot_s_7
Sachien,tool_box_rot_s_8
Sachien,usb_key_rot_s_9
Sachien,usb_key_rot_s_10
Sachien,watch_rot_s_9
Sachien,watch_rot_s_10
